App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isReplaceTryCatchWithAssertThrows
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-catalog.src.test.java.org.opencb.opencga.catalog.db.mongodb.IndividualMongoDBAdaptorTest.java,22,6,0,0,0,0,21,0,0,0,0,1,0,0,18.0,56.0,4,12,1,0,21,0,190.0,22.0,49.0,233.0,28.0,0.15,356,130,9,38,3,0,53.82,780,130,21,424,82,11,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.variant.io.VariantReaderUtilsTest.java,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0,0,0,0,3,0,47.0,3.0,7.0,11.0,32.0,0.68,87,68,22,4,2,0,84.62,102,68,26,15,14,4,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.variant.io.VariantExporterTest.java,4,1,1,0,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,1,0,0,2,0,33.0,4.0,12.0,20.0,2.0,0.06,89,101,2,41,3,0,76.06,550,101,13,461,253,11,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.io.VcfVariantReaderTest.java,6,0,2,0,0,0,1,0,0,2,0,0,0,0,1.0,3.0,1,2,0,0,3,0,72.0,8.0,28.0,31.0,4.0,0.06,135,118,19,7,3,0,80.27,141,118,20,6,2,1,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-client.src.test.java.org.opencb.opencga.client.rest.UserClientTest.java,7,2,0,0,0,0,5,1,0,1,0,0,0,0,3.0,7.0,0,0,0,0,6,0,51.0,7.0,14.0,38.0,9.0,0.18,107,54,7,16,3,1,51.38,216,54,14,109,48,7,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-client.src.test.java.org.opencb.opencga.client.rest.StudyClientTest.java,6,0,0,1,0,0,3,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,3,0,47.0,7.0,17.0,25.0,3.0,0.06,110,88,12,9,3,0,61.97,126,88,14,16,5,2,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-client.src.test.java.org.opencb.opencga.client.rest.ProjectClientTest.java,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,42.0,7.0,17.0,18.0,3.0,0.07,104,88,12,9,3,0,68.75,116,88,13,12,4,1,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-mongodb.src.test.java.org.opencb.opencga.storage.mongodb.variant.converters.DocumentToVariantAnnotationConverterTest.java,6,2,0,0,0,0,2,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,65.0,6.0,17.0,30.0,8.0,0.12,335,149,20,17,3,0,70.59,630,149,37,295,93,17,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-server.src.test.java.org.opencb.opencga.server.rest.FileWSServerTest.java,17,4,0,1,0,0,5,0,5,1,0,0,0,0,0.0,0.0,2,0,0,5,5,0,220.0,18.0,51.0,167.0,22.0,0.1,431,153,12,36,3,0,61.44,563,153,16,132,31,4,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-hadoop.opencga-storage-hadoop-core.src.test.java.org.opencb.opencga.storage.hadoop.variant.VariantMergerTableMapperTest.java,6,0,2,0,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0,2,0,61.0,6.0,17.0,49.0,2.0,0.03,124,114,5,24,4,1,65.0,212,114,9,88,42,4,False
