index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,AssertionRoulette,ConditionalTestLogic,ConstructorInitialization,DefaultTest,EmptyTest,ExceptionCatchingThrowing,GeneralFixture,MysteryGuest,PrintStatement,RedundantAssertion,SensitiveEquality,VerboseTest,SleepyTest,DuplicateAssert,UnknownTest,IgnoredTest,ResourceOptimism,MagicNumberTest,DependentTest,SplitClass,isSplitClass
41,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoDatabaseTest.java,756,98,163,671,0.23,171,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
42,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoDBTest.java,296,45,54,236,0.21,61,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoEdgeCollectionTest.java,255,25,35,245,0.34,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoGraphTest.java,270,21,30,301,0.29,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoSearchTest.java,546,39,42,442,0.14,75,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoVertexCollectionTest.java,254,26,35,258,0.32,82,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoViewTest.java,51,7,8,46,0.24,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/PackageVersionTest.java,16,2,3,27,0.13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/internal/QueueTimeMetricsImplTest.java,36,6,8,17,0.14,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
50,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/internal/HostHandlerTest.java,114,14,22,35,0.22,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/util/UnicodeUtilsTest.java,21,4,6,8,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/ArangoCollectionTest.java,2126,183,263,2047,0.35,752,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/ArangoCursorTest.java,38,11,14,15,0.08,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/ArangoDatabaseTest.java,756,98,163,671,0.23,171,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/ArangoDBTest.java,296,45,54,236,0.21,61,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/ArangoEdgeCollectionTest.java,255,25,35,245,0.34,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
